Name of Concert Hall,Source,Year Construction Finished,USD,Seating Capacity,Room Volume,Room Volume Units,Room Volume m^3,Surface Area,Surface Area Units,Surface Area m^2,Stage Area m^2,Stage Area units,Stage Area m^2,Noise Level,Noise Level Number,Ceiling Finish,Ceiling Alpha,Wall Finish,Wall Alpha,Floor Finish,Floor Alpha,Seat Finish,Seat Alpha,Average Alpha,RT - 500 Hz Unocc,Sabine RT Calc,Percent Error 1,Norris-Eyring EQ,Percent Error 2,Hall Type,Hall Type Number
Kumamoto Prefectural Theater,Hoffman - 1982 - 2002,1982,61820500,1813,19410,m^3,19410,6410,m^2,6410,372,m^2,372,NC-20,20,Gypsum Boards,0.1,Concrete,0.03,Vinyl Tile,0.03,Upholstered,0.7,0.215,2.3,2.267539818,1.411312266,2.013954297,12.4367697,Fan,2
Fukushima Concert Hall,Hoffman - 1982 - 2002,1984,31450000,1002,12900,m^3,12900,3900,m^2,3900,180,m^2,180,NC-20,20,Gypsum Boards,0.1,Tile on concrete,0.03,Wood boards on concrete,0.07,upholstered,0.7,0.225,3,2.366837607,21.10541311,2.089268945,30.35770182,Shoebox,1
Harmony Hall,Hoffman - 1982 - 2002,1985,12750000,756,9100,m^3,9100,2930,m^2,2930,220,m^2,220,NC-20,20,Gypsum Boards,0.1,Gypsum and Concrete,0.05,Wood boards on concrete,0.07,Upholstered,0.7,0.23,2.1,2.174061433,3.526734926,1.913165806,8.89686637,Shoebox,1
Suntory Hall,Hoffman - 1982 - 2002,1986,51000000,2006,21000,m^3,21000,6700,m^2,6700,235,m^2,235,NC-15,15,Gypsum Boards,0.1,Gypsum and Concrete,0.05,Wood boards on concrete,0.07,Upholstered,0.7,0.23,2.6,2.194029851,15.61423651,1.930737938,25.74084855,Oval,3
Casals Hall,Hoffman - 1982 - 2002,1987,59500000,511,6060,m^3,6060,2260,m^2,2260,150,m^2,150,NC-15,15,Gypsum Boards,0.1,Wood,0.1,Wood boards on concrete,0.07,Upholstered,0.7,0.2425,1.75,1.780239029,1.727944531,1.554406285,11.17678373,Shoebox,1
Tsuda Hall,Hoffman - 1982 - 2002,1988,16150000,490,4500,m^3,4500,1800,m^2,1800,105,m^2,105,NC-20,20,Gypsum Boards,0.1,Glass fiber and marble,0.01,Wood boards on concrete,0.07,Upholstered,0.7,0.22,1.55,1.829545455,18.03519062,1.619970208,4.514206993,Shoebox,1
Concert Hall ATM,Hoffman - 1982 - 2002,1990,82543500,680,7140,m^3,7140,2250,m^2,2250,119,m^2,119,NC-20,20,Glass fiber reinforced gypsum,0.04,Glass fiber reinforced gypsum,0.04,Wood boards on concrete,0.07,Upholstered,0.7,0.2125,1.9,2.404266667,26.54035088,2.138652039,12.56063361,Fan,2
Tokyo Metropolitan Art Space,Hoffman - 1982 - 2002,1990,247350000,1999,25000,m^3,25000,7700,m^2,7700,225,m^2,225,NC-20,20,Gypsum Boards,0.1,Marble on concrete / Wood on concrete,0.01,Wood boards on concrete,0.07,Upholstered,0.7,0.22,2.6,2.376033058,8.61411316,2.103857413,19.08240717,Fan,2
Okayama Symphony Hall,Hoffman - 1982 - 2002,1991,48450000,2001,17700,m^3,17700,5870,m^2,5870,220,m^2,220,NC-20,20,Glass fiber reinforced gypsum,0.04,Marble on concrete / Glass fiber reinforced gypsum,0.01,Wood boards on concrete,0.07,Upholstered,0.7,0.205,2.5,2.368138945,5.274442182,2.116131763,15.35472949,Oval,3
Katsushika Symphony Hills,Hoffman - 1982 - 2002,1992,90100000,1318,12500,m^3,12500,3970,m^2,3970,200,m^2,200,NC-20,20,GRC panels,0.03,granite stone panels,0.01,flooring block,0.1,upholstered,0.7,0.21,2,2.413937867,20.69689337,2.150525767,7.52628836,Shoebox,1
